,Waktu,Inference Time,Jarak YOLO,Jarak MediaPipe,x-mid,near,Regulasi Waktu,Deteksi,Terkirim,Mencari,Keterangan
80,2024-12-18 12:51:48,0.0,1.9484953703703705,2.0637976109758056,792,682,0.2700693607330322,b'E\n',b'E\n',Dalam frame,Kursi roda belok Kanan
81,2024-12-18 12:51:51,0.0,2.262768817204301,1.8378843862062488,569,682,2.550750494003296,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
82,2024-12-18 12:51:52,0.0,1.9174259681093395,2.2452022714880364,394,341,0.6972191333770752,b'B\n',b'B\n',Dalam frame,Kursi roda Maju
83,2024-12-18 12:51:52,0.0,1.591209829867675,2.390915446475849,185,341,0.3754796981811523,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
84,2024-12-18 12:51:52,0.0,1.4715909090909092,2.210050431571135,174,341,0.3612711429595947,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
86,2024-12-18 12:51:55,0.0,1.926201372997712,2.1720839203861244,564,682,0.3125021457672119,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
87,2024-12-18 12:51:56,0.0,1.966705607476636,1.8342790130804407,835,682,0.3797032833099365,b'E\n',b'B\n',Dalam frame,Kursi roda belok Kanan
88,2024-12-18 12:51:56,0.0,1.926201372997712,1.714712256093188,880,682,0.2505781650543213,b'E\n',b'C\n',Dalam frame,Kursi roda belok Kanan
89,2024-12-18 12:51:56,0.0010056495666503,1.97593896713615,1.6275797265612504,871,682,0.2716147899627685,b'E\n',b'E\n',Dalam frame,Kursi roda belok Kanan
94,2024-12-18 12:52:05,0.0,1.939516129032258,2.907486392459697,502,341,0.2830195426940918,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
97,2024-12-18 12:55:09,0.4473729133605957,1.5004456327985738,1.89144427418807,861,682,1.9217050075531008,b'E\n',b'3\n',Dalam frame,Kursi roda belok Kanan
98,2024-12-18 12:55:10,0.0,1.4413527397260273,1.869791880089036,858,682,0.3128490447998047,b'E\n',b'C\n',Dalam frame,Kursi roda belok Kanan
99,2024-12-18 12:55:10,0.0,1.7355670103092782,2.082102470098234,856,682,0.3966729640960693,b'E\n',b'E\n',Dalam frame,Kursi roda belok Kanan
101,2024-12-18 12:55:12,0.0,2.063112745098039,0.9851696744840648,833,682,0.840205192565918,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
103,2024-12-18 12:55:13,0.0,2.0185851318944845,1.929013053812512,520,682,0.3497800827026367,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
104,2024-12-18 12:55:14,0.0,1.8664079822616408,2.800975060785274,511,341,0.3320767879486084,b'B\n',b'B\n',Dalam frame,Kursi roda Maju
105,2024-12-18 12:55:15,0.0,1.1238317757009346,1.0672484925139467,170,341,1.678467035293579,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
106,2024-12-18 12:55:15,0.0009999275207519,1.100326797385621,0.894236094300275,242,341,0.2584922313690185,b'C\n',b'A\n',Dalam frame,Menunggu jarak aman
108,2024-12-18 12:55:18,0.0,1.2488872403560831,1.078311767102888,483,341,0.2536172866821289,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
109,2024-12-18 12:55:18,0.0,1.2734493192133132,1.0402582562316731,522,682,0.3409395217895508,b'B\n',b'B\n',Dalam frame,Kursi roda Maju
110,2024-12-18 12:55:18,0.0,1.2128962536023054,4.466606501141861,168,341,0.3224070072174072,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
